clientId,first_name,last_name,currency,balance
1,Davide,Setter,PHP,865714.69
2,Micky,Cliffe,YER,617605.25
3,Tremaine,Inwood,CNY,139207.2
4,Wendy,Olivari,BRL,993226.06
5,Mack,Timmis,TMT,669147.77
6,Maureene,Bayston,BRL,112794.59
7,Jobey,Vondrach,EUR,682604.25
8,Darren,Eades,CNY,506961.12
9,Winny,Kellog,IDR,810182.29
10,Lyda,Ksandra,MXN,271566.78
11,Clair,Surcomb,CNY,31939.49
12,Sanderson,Bramhall,MGA,465065.83
13,Katya,Almey,ETB,442420.02
14,Peria,Banker,CNY,510545.81
15,Hubert,Smittoune,PLN,764543.7
16,Desi,Gwilliam,EUR,182452.85
17,Tildy,Lindsley,RUB,495637.14
18,Braden,Stonelake,CNY,672174.75
19,Hilary,Colquit,CNY,431695.75
20,Putnem,Serginson,CNY,798965.45
21,Chicky,Ledster,RUB,698378.65
22,Kerwinn,Dennant,MXN,207974.84
23,Kenna,Matusov,CNY,648153.09
24,Fields,Dunckley,CNY,806108.85
25,Anette,Denkin,BRL,143118.96
26,Lyell,Fattori,NGN,22976.11
27,Polly,Franek,MXN,877581.17
28,Galina,Vanelli,PLN,165628.24
29,Melli,Dacke,EUR,19741.35
30,Melba,Yandell,PAB,405125.02
31,Kendre,De Bruin,CNY,830447.31
32,Janine,Boshere,CNY,508878.3
33,Jan,Raffon,EUR,211518.6
34,Ed,Woodier,NGN,412956.46
35,Dew,Higgan,IDR,813665.81
36,Manfred,Brunstan,PLN,751092.48
37,Anthia,Grigolli,AMD,102777.52
38,Janeen,Aleksankov,ARS,189345.29
39,Dill,Christaeas,IDR,404756.08
40,Romonda,Eingerfield,USD,982926.01
41,Dame,Basley,IDR,740154.55
42,Charlean,Paulo,NGN,955757.45
43,Tudor,Wykes,BSD,477029.86
44,Derek,Skillett,CNY,670402.17
45,Jenna,Porcas,CNY,12935.77
46,Genny,Gay,JPY,215548.48
47,Quent,Core,ETB,301855.57
48,Alair,Amar,TJS,521470.82
49,Clark,Schubart,IDR,570593.2
50,Judah,Caramuscia,RUB,654356.51
51,Alphonso,Guyonnet,RUB,45370.4
52,Sandra,Bazire,BYR,778726.33
53,Tab,Beddon,COP,33385.23
54,Elle,Hove,MXN,583811.52
55,Marshall,Fayers,CAD,31123.09
56,Tildie,Painter,JOD,260321.62
57,Mariam,Van Waadenburg,IDR,110234.46
58,Bendix,Huckster,IDR,326291.44
59,Marla,Sommerscales,CNY,998216.09
60,Gerardo,Gavrieli,PLN,13782.12
61,Aretha,Baraja,PHP,776752.14
62,Benni,Snelgar,CUP,340131.1
63,Kanya,Barwick,IDR,747540.61
64,Pepe,Masterman,IDR,710432.7
65,Flory,Spawell,COP,982032.95
66,Shandra,Dockrey,BRL,106468.73
67,Rowe,Brimner,XAF,64167.2
68,Ervin,Jamison,IDR,937439.6
69,Fleming,Challens,THB,264162.52
70,Elton,Deporte,USD,595284.29
71,Sigismond,Kowalski,BRL,948700.18
72,Darrick,Vickerstaff,CNY,549300.04
73,Timmie,Bonafacino,CNY,414793.5
74,Brandie,Dobeson,CNY,698649.16
75,Yorke,Tomasino,DOP,50116.8
76,Erhart,Gulleford,KPW,523490.12
77,Crissie,MattiCCI,CNY,894238.38
78,Kora,Belham,PEN,452960.1
79,Trevor,Carlill,CNY,459777.32
80,Clark,Altham,CNY,728258.96
81,Ricard,Iacovacci,CZK,664168.65
82,Yank,Kosel,IDR,735648.65
83,Anastassia,Catlette,NOK,332493.39
84,Perrine,Cauderlie,EUR,631842.91
85,Lemar,Monahan,CNY,551087.25
86,Emmalynn,Bohler,UAH,930720.75
87,Minetta,Doby,CAD,529585.96
88,Antoinette,Puddicombe,RUB,906876.81
89,Romain,Chazelas,IDR,255908.72
90,Anjanette,Simeone,LKR,386137.17
91,Kinnie,Gussin,RUB,627647.08
92,Fritz,Rivalland,PHP,179504.71
93,Gayler,Stockney,CNY,386646.56
94,Martguerita,Van Leijs,ARS,375038.13
95,Hermon,Cavill,PHP,608939.83
96,Pia,Hynam,EUR,477320.94
97,Valentia,Laborda,BDT,407383.52
98,Barris,Cudiff,EUR,252355.06
99,Lori,Belchambers,CNY,605592.51
100,Carly,Rutledge,IDR,910463.11
101,Ursuline,Sybe,CNY,157098.78
102,Kipp,Wedderburn,MKD,124347.03
103,Genevieve,Gligoraci,NZD,805559.99
104,Maegan,de Almeida,USD,20337.03
105,Shina,Tanser,ILS,428748.37
106,Hermie,Sacher,IDR,560216.58
107,Trev,Bonnier,GBP,876945.12
108,Suzanne,Warlawe,PLN,63544.53
109,Kile,Dikes,HRK,281013.71
110,Kissee,Jolliman,NOK,752946.03
111,Merrile,Deedes,AFN,639766.29
112,Maddie,Ryland,RUB,899034.39
113,Pasquale,Whittles,EUR,959918.41
114,Alfreda,Piatkowski,CNY,260149.99
115,Caroline,Charrier,COP,905558.15
116,Josselyn,Dallon,CNY,173967.76
117,Aleda,Strafford,BYR,499240.23
118,Jeff,Peto,PEN,557234.98
119,Anne,Boothebie,IDR,500339.12
120,Damita,Long,CNY,214795.6
121,Elwin,Sutheran,CNY,292891.11
122,Tony,Jennions,CZK,647666.79
123,Alvinia,Phayre,CNY,630553.34
124,Kleon,Thoresbie,AZN,924277.43
125,Erv,Janaud,EUR,342866.85
126,Chad,Masarrat,IDR,562147.93
127,Konstance,Gercke,PLN,31694.09
128,Jeanie,Biscomb,CAD,550655.64
129,Prent,McCrostie,ARS,781309.82
130,Huey,Lound,RUB,755150.76
131,Diana,Woodyer,ILS,185032.52
132,Anatole,Thumim,NGN,792264.95
133,Marti,Shawyers,PEN,628216.96
134,Brianne,Dumbell,CNY,5392.16
135,Lyndsey,Dummigan,EUR,350525.4
136,Jamie,Torri,EUR,208064.69
137,Benson,Castilljo,CNY,414947.45
138,Grove,Judd,BRL,327562.49
139,Danika,Phippard,IDR,660838.01
140,Anthea,Churchley,PEN,899925.79
141,Sandro,O'Sullivan,CNY,942401.59
142,Leslie,Guntrip,PKR,152629.64
143,Buddie,Arpino,THB,314093.93
144,Dal,Bracken,CZK,417971.28
145,Merilyn,Rowler,CNY,709748.09
146,Odetta,Stocks,RUB,784102.48
147,Corabella,Baggarley,DOP,369542.31
148,Lucinda,McGlew,ARS,31730.91
149,Vere,Cherry,USD,357507.4
150,Vale,Fortin,CNY,13744.64
151,Sidney,Biscomb,IDR,282173.66
152,Zebulen,Ricardet,KGS,128948.64
153,Mick,Coulthurst,RUB,719779.48
154,Addison,Stoffels,CAD,412678.16
155,Karena,Van Halen,EUR,607508.3
156,Ivor,Pylkynyton,CNY,57230.92
157,Anthony,Armytage,THB,790344.72
158,Far,Lock,EUR,181292.41
159,Ewart,Raund,PHP,738822.26
160,Henriette,Heathfield,IDR,706254.51
161,Massimo,Emmens,EUR,897367.19
162,Aveline,Libri,EUR,432598.49
163,Jesselyn,Brookes,PHP,80610.79
164,Brandais,Josefowicz,ILS,334775.11
165,Welby,Dog,CNY,95263.43
166,Lexie,Muldowney,CNY,740173.98
167,Sebastien,Likly,PHP,442417.69
168,Randall,Mecozzi,PLN,300676.9
169,Marin,Maudlen,CUP,905014.5
170,Ferdinand,Bennough,ARS,742226.96
171,Granthem,Wildash,RUB,410274.13
172,Ravid,Oats,USD,465895.87
173,Noami,Bromont,EUR,272598.85
174,Lurlene,Beaney,CNY,698397.06
175,Allen,Keelin,IDR,575651.05
176,Zebulon,Hollindale,BRL,149549.09
177,Rahel,Farres,NGN,759402.47
178,Pattie,Beckingham,MYR,346724.74
179,Abra,Hammer,CNY,230352.33
180,Vanna,Newcomen,CNY,430102.23
181,Ollie,Izchaki,EUR,556264.97
182,Donalt,Manktelow,ETB,442536.3
183,Brion,Nias,CNY,931158.35
184,Wendall,Rumming,EUR,471200.69
185,Lalo,Gencke,RUB,563077.44
186,Weber,Alldread,PHP,439971.45
187,Abby,Paling,CNY,813644.32
188,Trenton,Reneke,ZAR,614557.35
189,Skipp,Hallin,MYR,555904.22
190,Jennette,McGeachie,CZK,27787.63
191,Cletus,Polson,JPY,901943.29
192,Leonanie,Mountford,MYR,381872.01
193,Nettie,Warmisham,HNL,866107.05
194,Oralle,Mulvaney,CNY,113658.54
195,Mortie,Shelvey,HNL,376862.59
196,Pietrek,Cail,CNY,32801.73
197,Reamonn,Middis,VEF,100373.63
198,Blinny,Gethings,RUB,203689.65
199,Borg,Drillingcourt,ZAR,710075.14
200,Reade,Marusyak,PKR,434349.06
201,Karlik,Caughte,CZK,740458.91
202,Marney,Radage,PHP,806605.88
203,Kinny,Otham,PHP,95838.11
204,Edouard,Jerok,RSD,405558.7
205,Glenden,Boston,RUB,408584.67
206,Berty,Altamirano,UGX,370337.63
207,Fred,Rome,CNY,658107.23
208,Carlee,Casoni,IDR,275082.06
209,Desi,Lucien,CNY,786147.04
210,Jinny,Dacre,CNY,503530.71
211,Vassily,Frain,BOB,504887.07
212,Anselma,Bezarra,ALL,475260.96
213,Theressa,Krysiak,USD,898449.65
214,Del,Cloy,UAH,334137.32
215,Pauly,Charkham,MGA,565566.54
216,Currie,Justis,BRL,856297.23
217,Way,Gantzman,UAH,393359.92
218,Nelia,Scase,EUR,599207.09
219,Ceil,Thal,EUR,332046.93
220,Emory,Kobpac,IDR,131097.56
221,Krysta,Jaffa,PLN,693507.76
222,Buiron,Bedow,GTQ,844742.97
223,Jarret,Willey,IDR,578352.46
224,Pat,Bowden,CNY,309932.71
225,Noble,Dasent,PHP,43514.16
226,Carole,Pickthorn,JPY,133060.15
227,Teodorico,Joynson,PHP,554657.73
228,Deanne,Chevolleau,IDR,194479.74
